Noun,Verb,Adjective,Exclamation
누가,하구나,있는거,쳇
특혜,넘어가겠지,같다,아
특혜,할수있는,없는,아이쿠
금메달,할수가,반갑다야,아
전,시키는,창피하지,에구구
금메달,했을,부끄럽지,아오
딸,아는구나,불쌍하지도,아
것,시키고,아니고,아
예상,였던,깨끗한,휴
합격,시킬라고,창피하게,아
특혜,바꾸고,어지간히,휴
그것,줘서,그런,하
자격,않은,없었다니,야
미달,얹어주고,그럼,아
단,주는,아니고,하
메달,붙여주게,아님,아
특혜,논거,아니고,
술,가릴라고,당하지말고,
음주,하냐,확실히,
담배값,받았는데,있었다고,
증세,찾아가니,대단하다는,
사람,바꿔,없네,
살인죄,버리고,아니라고,
뭐,하는,뻔할,
이,일어났지,있다니,
법도,자빠져있었지,아쉬워서,
재,나온,확실히,
출석,줬다고,없었군요,
학생,시킨건,확실히,
학점,끝나면,없는,
수라,웃기는,무섭고,
니요,하던,잘난,
사실,됨,없다,
이유,되는,독하게,
역대,해,구린게,
최악,했다고,없는데,
총장,되고있고,어지간히,
금메달,덮기,싫은,
이,됨,있겠냐,
서류,알겠음,부끄럽습니다,
마감,빠지니까,아니라는,
이후,줘서,무능하고,
문제,찼다,심한,
금메달,썼던게,아니다,
체전,기억나네,어떻게,
개인,몰랐는데,아니고,
전,될만큼의,아니고,
금메달,망쳐도,미쳐,
만,해주는,이상한,
인정,내는구나,뻔하다,
규정,모르는게,캄캄하다,
무시,하면,그러니,
것,하면,확실히,
문적,참,추하다,
최,해봐,그만해라,
딸,우습지,쉬운,
서류,돌아온다,뻔하게,
통과,들아,같은,
자체,졸인데요,그래,
문제,쓴거,덥히지는,
임,보니,이상하게,
최,가더,없는,
총장,잘쓰는거,깨끗하게하겠다,
속마음,했지,참담하다,
이,하는데,그러,
특혜,됩니까,미안합니다,
설명,나은것,두터워,
분,할만,있을,
따님,한다,강력히,
천혜였,망친것은,불과하고,
내,뽑아,암약하고,
리포트,쓰니,있는게,
제출,않고,부끄러운,
교수,하는,깊은,
가차,하니,아니다,
앞,나가고,정당하게,
매년,나오면,어둡기만,
수업,사들이,부끄럽지,
전,먹으니,없다,
내,이루고,그렇고,
수업,갈아야,그렇고,
레포트,한다,그렇고,
제출,이끄는,그렇고,
학생,맞게,아니,
교수,하셨어야죠,있다,
안주,깨부순,뻔함,
