Noun,Verb,Adjective,Exclamation 
남발,되셨음,다양한,
맞춤법,오게,좋은,
개,된것도,같아요,
엉망,불러서,뜨겁겠다,
더,때려,구린,
레포트,잡으면,부끄러운줄,
일반,될꺼라,똑같구먼,
학생,하셨잖아,있고,
내면,빛나는,없고,
빠꾸먹어,맞서라,가득하구나,
인정,지켜라,적당히,
이대,가는,같은,
교육,이었는데,스러,
수준,썩는,아니란다,
그,한다,아니라,
따위,그리,당연히,
학교,할거,야하는거라고,
특혜,할,뻔했다,
개교,감사하다며,정당하게,
최고,받는,아니면,
개그,들고,같은,
특혜,일어날,있구나,
권력,한다,아니라고,
말,되면,없었고,
니,물러나라,조용히,
잔치,살다,있지,
특혜,살다,안되요,
특권,됐네요,있다면,
교수,보내주시면,시끄럽냐,
협회,감사하겠습니다,어떻게,
학생,보내는,비슷할까,
농간,보네,아니고,
연기,않나,상관없는,
불,따왔다고는,이런게,
안땟다,될거라,있는데,
때,하는지,있고,
게,하는,명백히,
말,밝혀지고,있던것이고,
분명,하면,당연한,
정권,믿어주는,행복하십니까,
유착,알려져,영원하네,
관계,늦은,많고,
말,가리네,확실한데,
증거,들을,슬픈,
나,가릴수있다고,심각하다,
뻔,하시나요,대단한가,
수가,만들긴,있는,
닭,했는데,아니,
말,아는,아니면,
개돼지,둬라,같은,
알,않나,있는게,
뭐,봐라,있었네,
막,갖고,이런,
똥물,놀라하네,같은,
당신,뽑는,이런,
후세,생긴,없다,
될껍,들어가냐고,한심한,
권력,되어있는데,창피하다,
최소한,할거냐,뻔하나,
양심,우겨,강한,
사람,긁었는지,있겠지만,
말,적혀있,아니란,
박근혜,하고,이럴줄,
최,설실었다면,같은,
실,하겠네요,있어서,
학생,쉽네,부끄럽지도,
국민,할까,야할,
보이,들고,옳다,
얼마,일어나라,있는,
안남,할,아니었네,
시간,밝혀라,아니지,
그,쳐주는거,있었다고,
권력,보면,당연한,
바닥,일까,아닌가,
어딘,모를만큼,아닐,
시간,가보네요,당연한,
반드시,뜨고싶다,없었다,
설명,맞던데,없었다,
뭐,물어보고싶네,있어도,
것,하게,없었다,
사퇴,가며,있다는것을,
누가,주고아니라고,친하면,
말,하는건,아니,
아따,하려고,아닌지,
학교,두었으니,많은데,
왜,시켜야,잘맞는지,
휴학,한다,아니,
해명,하지마,아니고,
사퇴,되어야지요,뻔하지,
거,모르,칠하고,
개,닮았구나,있네요,
누리,지,부끄럽다,
북풍,꺼리냐,어떻게,
휴학,모르고,아닌,
나중,바쳐,가능한거죠,
얼굴,막아,없는,
학교,봤자,그러고,
혹시,하는,있겠지요,
졸업장,닮앗다,수많은,
줄,겠구나,많은걸,
유체이탈,봐,있는,
화법,가려지나,우스웠겠지요,
요즘,가는,재밌었겠지요,
대세,보면,입니다,
대통령,살았는지답이,많은,
꿈쩍,나오는듯,어떤,
짓,버틴다고,그럴,
해도,가려지나,똑같내,
배,모르고,없는데,
똥,참,성한,
배짱,쪽팔리다,없구나,
총장,모르는지,아니면,
이대,해준다고,이런,
명문,할,많아서,
대가,해가도,아니지,
것,들어가면서,그러니,
총장,받는데,있으실,
최,무너지는구나,스럽네요,
총장,보내지,아니고,
아바,닦으로,아니고,
타임,가리고,어떤,
위,먹겠다고,아니냐,
실,벌였지,다르냐,
치킨,않았나,입상한,
이화,바꿔라,필요하며,
비양,읽히네요,있다,
권력자,튼데,있으면,
때문,일으키신,아닌,
고통,해줬지만,부끄러워해,
이화,짜,야하는,
이화인,하네,없는데,
것,남은,없고,
얼굴,늙은,없는,
총장,나온,더러운,
이화,노가대,없었다하면,
유치원,다니는,뻔한,
국민,기대어,그러다,
바보,나갈라,창피한줄,
사퇴,올렸지만,아니라,
사퇴,썩은,없구만,
사퇴,뽑은,없네,
총장,맞다고,아니냐,
사퇴,하면,있는,
총장,날라,부끄러운,
실,갈텐데,그래요,
딸,할수,뻔히,
하나,밝혀서,없고,
땜,도와줘,그런거고,
이화여대,떨린다,자리는,
똥통,주무르는,없다는,
학교,가봅니다,아니라고,
이제,알아서,왠만한,
누가,기는거겠죠,아니라는데,
이대,씹,그럼,
졸업,돼가지고,가능하냐,
사람,하는것도,깨끗해야,
학점,하니,망한다,
사람,되어라,어떻게,
천명,맞춰,확실히,
희생,받고,없어다하면,
총장,걸린,그럼,
박근혜,했는데,있었다,
주변,우기는,충분해도,
똥파리,소문난,있음,
윙,떨어진다,추잡하게,
윙,해라,순순히,
이화여대,되었을까,있었다고,
역사,좋아져야,그런,
최경희,하는데,뻔한,
총장,가고,같,
때문,가리니,멀,
걸,일까,같으니라고,
정도,일까,같다,
수준,들어가나,아니다,
학점,보네,없다,
이면,선거였다,한심한,
이대,가리는,심하다,
문,하는게,같소,
금메달,일듯,부끄러운,
의심,시키는듯,많고,
간다,하느라,좋은,
혹시,밤새고도,있고,
심판,가는데,많은,
매수,안가고도,같은,
진짜,나오고,좋은,
뻔,되,없으니,
사람,서는,같은,
총장,가는,없네,
이대,건지,좋은,
앞날,모르겠다,안좋은,
저런,지켜보고,변할까,
대학,했다,변하겠지,
총장,쌓지,불쌍한,
대통령,바란다,불쌍하다,
또,삽니다,없다,
라이,살다,아니요,
밥,살다,안되것소,
그,하는,참된,
나물,본다,미친,
헬,해야,없었지,
조선,와,있었고,
젊은이,버티기만,독한,
사퇴,하면,없네요,
학점,봐주는,없다,
학위,떨리는,부끄럽다,
졸업장,돌아간,없다,
이화인,건지,있을,
졸업,지나가는,없구나,
학교,알겠다,억울해하겠구만,
손바닥,넘,무섭네,
하늘,웃김,없었다면,
누굴,하면,아녀,
저리,말아먹는것은,한심하다,
뻔,본다,아니면,
거짓말,걸러,미안합니다,
건가,내고,있습니다,
이제,할듯,궁금하다,
국민,물러나라,든든하다,
노,와,아닌듯,
그냥,죽어도,확실히,
제발,해보니,없었다,
사퇴,보니,음흉한,
이화여대,해보니,한결같구나,
늙은이,흔드는,더럽다,
박근혜,먹,더러워,
피해,누를,친해,
그냥,끼치는,없다더니,
최씨,봐요,칠하는,
부인,해라,없을듯,
지금,할꺼다,없어요,
국민,한다,없는거랑,
드응신,만든,같아요,
도대체,이를데,그래,
이,터진,확실히,
나라,하는구나,있다고,
놈,그리,많은데,
이,되,대단해,
롤,는지,아니다,
학자,비추,부끄러운줄,
양심,써,너무하네,
맞춤법,잇던데,없네,
띄어쓰기,긁어와도,신성하고,
레포트,하면,대단하다,
어요,하면,더럽다,
보디가드,하면서,더러워,
데리,걸어가는건데,그래이대,
관광,참,있네,
학점,하면,있고,
최,믿어주겠지,있으면,
실,이러고,저래도,
딸,열었나보다,아니네,
인생,찌르는,있으면,
혈육,합니다,있겠냐,
박근혜,않나,있나,
면면,하니,음흉하게,
보고,나라라면,뻔하다,
정치,나오고,좋을꼬,
역대,했는데도,없냐,
그,하고,미친다,
누구,나온다,미쳐,
보아,자른데,답답해,
악질,허냐,어떻게,
진짜,보냐,이럴,
왜,다녔는데,있지,
쇠,주고,같아서,
이화여대,가리는,억울해,
정도,시킨,없는,
개,대라,부끄럽고,
충격,받기로,억울해,
총장,했나,그럼,
증거,늙어서,없어서,
나,받았나,없고,
기하,됩니다,비겁하고,
졸업,저러고도,비굴한,
개진,하고,부끄러운줄,
쥐,싶냐,같은,
암,해드릴,아니,
쥐,해드렸으니까,아닌지에,
손바닥,여길,없는거야,
하늘,가서,그런,
누굴,인실,없고,
바보,쓰는데,나열해,
아,인실,뻔하다,
분,쓰고,그럼,
때문,가서,수많은,
이상,지키,아니다,
전통,기는,없다,
자랑,붙여,많나,
대가,다니다,그러면서,
쓰레기,지,더러운,
정말,들어오고도,변했나,
정권,받고,뻔히,
교체,다닐,없었다고,
해,했겠다,뻔하네,
아이,건지,한심하네,
세대,가진,당당하게,
최,자는,뻔하고,
실딸,된다는,같은,
박근혜,않다는,아니다,
손녀,배우고,아니요,
박근혜,하자,없어요,
박정희,봐라,부끄럽지도,
군사독재,드세요,독하게,
영부인,물러나라,적절한,
시절,않는다,계십니다,
살,아는,확실히,
연상,짜,창피하고,
최태민,봐도,후회되지,
사이비,보는것이요,그런데도,
교주,하는,그럼,
홀려,빠질수,어이없는,
관계,가리시오,웬만하면,
그,나와야,없는,
최태민,나온,부끄러운,
딸년,가,엄청날,
최,들리네,그러는,
실,된,있는,
박근혜,하면,딱해,
딸,안줄텐데,아니다라는,
설,물러나면,아니겟지,
청문회,밝혀지니,부끄러운줄도,
언급,하는수,두꺼운,
정도,가,아니고,
친분,들한데,당연한,
현재,믿으라고,뿐이겠지,
대한민국,하는,대단하다,
권력,웃는다,뻔히,
정부,몰랐네,그러시겠지,
관계자,보네요,많은데,
말,가릴수는,당당함하고는,
정도,벌어지고,머니,
그,모른다,없으면,
최,써,쉬운데인데,
실,낸,추하다,
현재,일까,같은,
이슈,참,궁금해,
미르,입은있다고,스럽다,
재단,되고,없다,
종잣돈,된,칠하네,
기업인,건지,있었다고,
협박,봐라,아니고,
마련,뭐라도,아니고,
추정,나오겠지,아닌데,
새누리당,나대지말고,소박하네,
대표,꺼져라,소박한거,
이정현,와,같다,
단식,하다,어렵다면,
쇼,남고싶냐,좋다,
위함,저러고,싫으니,
함,싶을까,좋겠네요,
최,하려고,역겹습니다,
실,하고,그러면서,
딸년,보는,더럽습니다,
현재,하는거지,없음,
승마,될,뻔한,
이대,해보고싶다,좋,
특혜,그리,이럴까,
입,싶나,확실히,
재학,키우는,없었다,
이슈,하지,그럼,
자,죽었다,미쳤네,
헬조선,죽였다,행복할까,
현황,심줄,확실히,
이제,지나도,있었다는,
사실,없어지겠다,아닌데,
박,깨끗해질까,없는데,
그네,숨도,그랬어,
허수아비,쉴거,없네,
뒤,봐라,이런,
사이비,태우고,그런,
교주,몰랑,망해가는,
최태민,알고있다니까,있는,
일가,할거라,넘친다,
즉,믿었나,미치지,
비,잡아떼겠지,끈질기다,
대한민국,헐,같네,
현실,모르,불쌍하네,
정말,알길,아니라,
일이,나온다,궁금하기까지,
지금,하시오,있다잖아,
온갖,되면,있는데,
총리,주고,같혀,
여당,팔겠당,미쳐,
대표,넣으면,힘든,
유서,시켜,더러워서,
이대,줍니다,확실한,
총장,할거면,아니다,
목숨,할,한결같군요,
각오,보내요,두려워하지,
정도,겠죠,창피함도,
말,참,같습니다,
다한,떨어진다,특별한,
셈,잘뽑아야지,없었지만,
웬,하네,없으시다,
유신,참,추해지는,
시대,않,안타깝네요,
망령,참,있으면,
할망구,했어요,당연히,
하나,보고있는,없었다고,
잘못,차오른다,좋냐,
나라,보는구나,뻔하네,
꼴,가는것도,어떻게,
말,우습긴,없다고,
학업,하다,친절한,
전념,받으셨수,있었구만,
학생,되서,확실히,
벌써,한건데,없었나,
부정,걸려,없지,
법,드시면서,없는,
사회,하시내,있어서,
관념,봐도,있네,
과연,화날지,가능함,
대한민국,될꺼다,있다고,
미래,써도,좋네요,
초석,주는구나,약하고,
대한민국,나도,약한,
미래,낳으면,궁금해서라도,
저항,보내야겠다,칠하지,
지성인,하네요,안된다는,
박수,바뀌면,있는,
외압,지려나,이런,
누가,썩었습니다,아님,
특별대우,받았다니,대단한,
구만,받았다는거냐,없다,
자식,받았는데,밉,
이,받았다니,같,
바,받은거냐,분명히,
그네,하는,스럽다,
말,하고,없구나,
비정상,자빠졌네,넘치니,
정상화,집고,확실히,
비정상,넘어가라,있어,
정상,나는데,없는,
세상,잡아,심하게,
뭐,되는가,뻔한,
나중,본다,있는거나,
나,가려질까,아닌지,
보고,봐,확실히,
하겄,서는,있었다,
여하튼,해줘야,확실하게,
것,할것이였것지,없었다는데,
서울,물러나는것이,엄연히,
대학병원,먹,쉬웠어요,
교수,만드는,있는,
이분,묻어,없을리,
이정현,버리는구만,좋아하게,
나랏님,까발려졌는데,그러,
한해,저러는거야,그래,
이번,넘는,그랬겠지,
정권,하는구나,더럽고,
생각,나오게,추악하다,
단어,하네요,입니다,
뻔,해라,중요한,
그,기대도,같지도,
뻔,했다,좋다고,
에너지,하지,없었다니,
곧,하냐,그럼,
개돼지,되었네,없었다라니,
민중,알았다,많으십니다,
대하,봐라,그만하시고,
가장,참,추악한,
기술,웃었다,아닌거,
뻔,썩은,같다,
뻔,썩겠냐,망했어,
설득,배울게,망한,
얼굴,참,좋아야,
근심,쓰고,좋은,
이쯤,하시네,변할려면,
양심선언,내려와라,변하지,
사죄,물나오듯이,그럴수가,
사퇴,나오는데,없잖아,
은,하는,변해서,
최,될,없었다구,
실의,보네,아니,
딸,했다,아님,
정유,줘라,부을,
아무,닳아서,아님,
잘못,해도,아니라는,
최경희,알아듣겠어,두껍게,
총장,말이네요,아님,
사퇴,쌩까고,있다,
시나리오,모르,뿐이,
결과,하는게,더있나,
남,박힌,그래,
기씨,갑다,힘없는,
정부,날라,같아,
물대포,갔네,없다,
정부,할,행복하고,
부검,하면,그래,
결과,말하렴,원하는대로,
물대포,웃겠다,더럽지만,
관련,봐라,즐겁게,
결과,가려라,부끄러워하며,
세월호,사는게,없습니다,
국가,된다,속상하네요,
눈,시켜라,그렇지,
명도,밝혀졌는데도,아니라네,
구조,찐,대단해서,
것,찐인것,확실히,
구조,차렸군,있던데,
못,하세요,확실히,
것,모르는듯,없다고,
물살,태어난,그러려고,
유가족,떠나고,확실히,
돈,싶어하고,힘들다,
집단,떠나도,새로운,
시나리오,낳지,있었던것이다,
결과,않겠다는거,확실히,
김무성,치시네,아니다,
대선,되었군,아니다,
직전,받아주니,당당하게,
관련,참,똑같다,
북풍,다녔네요,그러다,
몰이,싸우면서,안될,
대선,했는데,같으면,
판,했나,없다랑,
막상,봅니다,비슷한거,
선거,였나,같아요,
쇠,가,이런게,
그,가,많은걸,
결과,되냐고요,없었다고,
사람,써서,어떻게,
대학생,다니고있는,어떻게,
일어나서,주고있는,아니네요,
생,하던지,없고,
힘,해라,있어도,
저건,맞추고,당연히,
생,해,없다고,
뿐,팔렸냐,그만해라,
어찌,들어가야한,어떻게,
대학생,쳤다,있겠냐,
모욕,와,없다,
거기,가려라,상실한,
도하,알아야지,뜨거워진다,
술,해놓고,같다,
음주운전,안가는거지,확실히,
사실,따기가,확실한,
폭행,그리,없다고,
입학,닮았냐,그렇겠네요,
특혜,해,좋긴,
수업,하냐,아니고,
결석,해라,이럴,
언제,되나,어땠을까,
어디,들이,그만하고,
서나,나온,추하다,
태도,쪽팔려서,더럽고,
다음,쓰겟냐,확실히,
노상,하는게,있었구나,
방뇨,까지하면서,같은면,
저런,살고싶난,부패한,
표정,하는,충실한,
말,가리세요,입니다,
오해,싸우고,없다다만,
내,하던,같네요,
사람,우습게,확실히,
해명,만드는구나,없었다,
입,깔보는거니,확실히,
본인,썩은,없었는데,
입인,바란다,실히,
정부,되면,없었는데,
입,나서야,실히,
생각,할것,없었는데도,
사람,해야,확실히,
다수,될것,없었는데도,
데,보려하네,확실히,
나,시키든,없었는데도,
생각,봐주라고,부질없는,
하나,되겠,있을,
관상,보니,싫어,
해먹,가리는,그러니,
관상,부리려고,우울했는데,
임,하네요,이런,
닭장,보는군요,미안한에,
파워,생겼다,미안해질,
명문,맞네,같다,
대도,참,어떻게,
초등학교,생긴게,뻔한,
상관,하네,다를게,
사람,나와,아니고,
도,잇는데,망하것다,
면상,모르,망함을,
욕심,한다,나쁜,
특혜,맞긴하네,먼,
리포트,해도,있는거,
그,됐네,같다,
수준,주셔서,없었던,
게,감사합니다,없어다,
더,썩어,두껍,
말,빠진,그럼,
소리,않은가,있다고,
의혹,걸렸으면,확실히,
앞,해야지,없었다,
수,해,있었을,
사퇴,해야,아니고,
답,한다,아니였네,
사퇴,내려와라,억울하겠다,
때문,푸내,있다면,
교육,되면,안되는,
물이,먹어야겠네,뻔하게,
똥,믿어,있는,
물이,믿니,아니네,
특혜,뽑을,있었다는건,
특혜,하고,궁금한게,
저,되는걸,아니다,
정도,살겠다고,궁금하지,
수준,저럴까,대단하시네,
특혜,하려고,없었다,
말씀,한다,희,
분,알았어,부끄럽습니다,
기준,살아온게,무능한,
도대체,나타난다더니,같다,
얼마만큼,살았는지,그만하세요,
특혜,해주네,아닌가,
건가,만들어,그럼,
지금,버리네,좋은,
소리,하고,불쌍한,
개,참,없지,
콘,보다,정신차리십시요,
진짜,넘을수,아니면,
후안,건너신듯,그랬다는,
무치,할,있는데,
해도,끝날줄,암담하다,
정말,알았나,아니라,
최,합니다,당연한,
실딸,불러,그럼,
박근혜,끊이있으려나,그러시지,
손녀,보내주시면,없었다면,
박근혜,감사하겠습니다,있다는,
박정희,보내,없었다고,
군사독재,감사해,아니라고,
영부인,보내준게,아니라고,
시절,감사해,미친거네,
최태민,메디,뻔하게,
사이비,들,뻔뻔스럽게,
교주,하는구만,불쌍하다,
홀려,빠졌다던데,아니라는,
관계,받은,다름,
그,할거고,비슷하구려,
최태민,하지,없는,
딸년,나가,아니예요,
최,버텨서,지겹다,
실,하냐,아니다,
박근혜,태어나도,비리구만,
딸,할수,없긴,
설,비춰,없어,
청문회,봐라,부끄럽다,
언급,봐도,뻔한,
정도,비웃겠다,무서우면,
친분,않는,아니다,
현재,하는말,있으니,
대한민국,집어치워라,더러운,
권력,하지말고,안된다,
정부,하세여,같다는,
관계자,보는거,아니라는,
말,하다,아니,
정도,맞아,아니라는,
그,해,있을것,
최,먹고,같네요,
실,가자,스럽네요,
현재,한다고,만족할,
이슈,찍을거다,아니다,
미르,토나온다,어떻게,
재단,버티니,있나요,
종잣돈,도와주나,아니,
기업인,보네,없다,
협박,적고,있겠습니까,
마련,잊어버리려고,같다,
추정,됐다는거다,입니다,
새누리당,하세요,조용하세요,
대표,받을꺼예요,없겠다,
이정현,망가졌,아니네,
단식,망가지면,없겠네요,
쇼,떼기,있어도,
위함,봐라,있었다,
함,했다는,어이없다,
최,하는,이럴,
실,가진,같은거,
딸년,하던지,없어,
현재,한다,같다,
승마,가진,어떻게,
이대,바로잡기,없었는지,
특혜,하는,없었다,
입,보고싶다,확실히,
재학,살고싶다,있었습니다,
이슈,키우는데,이런데도,
자,만들어주세요,있는거냐,
헬조선,들은,더럽다,
현황,아는거,더러워,
이제,해서,강한,
국민,욕먹는거보다,역겹다,
특혜,해서,그만하시고,
준걸,되는게,조용히,
댁,해야하지,싫고,
내년,않을까,뻔한,
대선,싶다,안됩니다,
정권,꺾어내야,미친,
교체,헐,없었다,
정치가,알아라,창피하지,
나라,가,더러운,
꼴,나가주거,아니라고,
그,냄세,없고,
멋대로,풍긴다,길은,
모든,웃기지도,아님,
민주주의,않아요,이런건,
국가,하세요,이런,
나라,시키고,있다는,
방향,싶으세요,입니다,
국민,보여,부끄럽지도,
몫,주고,같은,
제발,참,뻔하다,
정치,키우지,있는,
무관심,말아야지,이상한,
혐오,키워,마라,
모습,망쳤다,그렇다면,
우리,망친건,같은,
입시,놔둬야지,젊은,
요강,들,그러면서,
체전,해라,거북하다고,
메달,썩었다,아님,
정윤회,물러나면,미친,
최,온거냐,쎄,
실,일세,있겠는걸,
그,시켜줘,없는,
딸년,하는,분명하구만,
반드시,묶어서,그런건데,
처벌,나가면,재수없이,
재산,한다고,당당하시네,
출처,가서,없었다는,
은닉,나가고,없었다,
재산,사해서내도,이런,
조사해,들을,황당한,
몰수,하십니까,지겹다,
처,잡아떼고,아니네,
개,버티면,뻔한건데,
소리,된다는,딱이네,
것,앉아,힘들것,
처,마십시오,같은데,
욕심,자란,안되나,
쿱쿱,해,뻔할랑,
디,채우고,많은,
디,가게하는건,있으려,
난,시켜야,궁금하네,
학,꿈꿔라고,안되지,
이대,하지,뻔한,
옛날,보는,많네요,
학교,해,뻔하고,
증거,커지죠,부패한,
수두,한다면,실히,
데,하는,있었다는,
정권,흘러가니,여전히,
눈치,가는구나,아닌가요,
급,감사하겠습니다,아니,
아줌마,닦으로,아니고,
이,가려라,있다니,
정권,하자,안됨,
당신,갈꺼,옳은,
이,쪽팔리게,이런,
아줌마,맞을려,추악하다,
사퇴,긋지,아니다,
반성,하다,죄송합니다,
개명,맞아,있는,
자꾸,주신다고,썰렁해요,
이름,했나,재미없어서,
실,보네,짜증나요,
불리,버티는거,짜증나구요,
존웃,보니,그만하세요,
뭘,나와서,나쁜,
보고,하지말고,환장한,
특혜,나가서,싫은,
당췌,믿는다,부끄럽니,
이해,쓰는,부끄러운,
정황,놀라,뻔한,
말로,틀리는건,많고,
특혜,맞아,시끌시끌하냐,
만인,믿으라고,아니네,
쯧쯧,지나가는,아님,
이대,붙잡고,친절히,
쓰레기,물어봐도,그럼,
퇴,할듯,있었다고,
합격,드러난거만,간단히,
이유,할말이,그럼,
학사,비추,우승하면,
관리,함다,없는,
노정,맞는,그럼,
문제,받을려고,확실히,
해결,한,있었네,
명문,맞죠,없다,
이대,대노,없다,
더,할,이런,
이상,하는,망할,
똥,챙기냐,없다,
총장,맞춰서,이상할,
어디,바꿔,부패한,
출신,해야,없음,
이,되는거,없고,
나라,아냐,아닌가요,
이,물려주어야,아니다,
꼬,할,그럼,
라지,갈데까지,어려운,
우리,갔다고,아니라,
애,본다,있는데,
상식,모르는,어떻게,
이꼬,뽑겠지,뻔하네아니면,
때,싸고있다,많았겠다,
다행,하자는,같은,
다음,건지,아니겠지,
정권,가리는군요,부끄러운,
동물,삽시다,똑같은,
신,되는구나,똑같을랑,
병신,치지말고,있나,
사람,내려오세요,있어도,
발,하시지,아니라면,
모든,저러는지,아닌거냐,
부정부패,맞지만,확실히,
줄기,봐,없기는시,
꼭대기,꼬꾸라졌다,있을테니,
개근,돌아가네,친절하고,
로부터,돌고,상냥한,
개근,밝혀지면,부끄럽지도,
개근,부르지마라,있다고,
퇴진,알아서,많은,
구속,분이시니라,조용하고,
이대,하면,좋은,
이류,받는다,많은데,
뇬,알았,정직해,
사람,한,같은,
바보,인것으로,있으려나,
답변,아는데,아니고,
총장,나올,아니고,
언론,하는,아니고,
얼마,나대는,대단한,
정색,받길,아니면,
특혜,한다고,아니라고,
말,하는데,같은데,
끝,져,아니라면,
부분,버린,그런,
국민,돌아섰어요,간단해,
사람,하면,그런,
새끼,하지,나쁘고,
학자,마세요,없는,
자존심,합니다,있는게,
선택,믿고,아니면,
하나,버틸까,미친것,
하나,생긴거,좋으면,
어쩜,봐라,창피합니다,
스스로,하게,많은데,
사면초가,생겼나,없었다는,
인간,봐주는,수많은,
최,깔가가니,아니라,
실,가릴,쎄,
현재,찌르는구나,있으면,
막후,썩은,안되는데,
권력,하는구나,대단하다,
위,다는,당연히,
이쯤,한,아니야,
년,되나,아니라면,
친모,늙으,아닌게,
정유,알았지,미친니,
라가,하겠어,빵터진거,
미스터리,보면,아니면,
총장,알겠어요,그래,
사퇴,허,없었다,
새누리당,접하게,있구요,
소속,해도,안된다,
자리,주는,그럼,
총장,하지,있는거,
대한민국,시키는게,아니,
국민,지,아니면,
쪼다,들,아니다,
너,바라보고,아닌데,
의혹,하십,확실히,
빼,하면,없었다니,
의혹,넘어가려는거지,확실히,
너,까먹을꺼고,있는데요,
특혜,그치,뻔하다,
우리,참,부끄럽게,
야,가리려는,명백한,
닭그네,믿고,없었는지는,
만하,저러는,그러잖아,
뒤,아는데,없다고,
청와대,모르지,마지못해,
머,빌붙어,아니,
겁,받아,아닌데,
에이,먹는,없다,
닝,가도,없었다,
기리,나옴,그렇구나,
왜,하러,어려운거냐,
러시,해,미쳐가자는,
초등학생,하는,없는,
니,믿고,있네,
자손,바뀌어서,비슷한,
사람,짜깁기,어떻게,
너,받지,없는거면,
알,않아,뻔하다,
남도,싶어서,부끄러운줄도,
알,가진거,아니면,
일,잃을거,아니다하면,
우기,가진게,많은,
청와대,뺏길거,딱하다,
사시,잃을거,화할,
마음,겁나겠죠,현명한,
졸업,팔리는,그러니,
이화인,지키시길,없었으면,
웃음,났는데도,이상하게,
안,하시는,정정당당하게,
똥통,믿는,있는,
학교,대하는듯,좋겠다,
전락,하네,있다고말을,
순간,시키지말고,정당하게,
이화여대,해라,그러게,
교육부,가,없어야지,
지원,우기면서,비겁한,
사업,주는,부끄러운줄,
개중,되,없을것이다,
개,버렸다,같다,
선정,사는,신비한,
혹,돌아,특이한,
래서,버리겠어요,있네,
이건,들었는데,분명히,
완전,냈는데,있,
수준,줘요,다르지,
진상,주셨냐,똑똑한,
사실,하려면,궁금하다,
일,들키게,같은,
경우,하셨어야죠,확실히,
관련,저질러놓고,칠하고,
처벌,하면,있구만,
세금,믿을거라고,아니라,
환수,하셨어요,없다,
특혜,사시는지,나쁜,
것,부르,저래도,
특혜,끼치시고,있지,
정치권,하세요,당한다,
실세,모르는,나쁜,
가족,봐도,어떻게,
권리,맞는데,있으면,
이기,우기내,있는,
때문,하네,입니다,
무지개,해라,입니다,
소리,아는,있어,
특혜,물러,이럴,
당신,나겠지,이상한건,
국민,될,같다,
눈높이,아는구나,위대한,
보아,할지,입니다,
일,나오면,자랑스러운,
말,되겠네,붉어지면,
그것,하믄,있으면,
생각,나오는데,있다는,
개,들어,같으면,
돼지,속인것,황당하다,
만도,물러나,확실히,
못,말아먹네,아니라,
차라리,잘,같습니다,
입,봤습니다,없어,
현실,눈물나며,어떻게,
말,밤새워,시끄럽냐,
감정,꿇고,안쓰럽다,
상하,시켜,아니라니,
쯧쯧,했는지,민망했나,
개,밝혀라,있는,
지붕,먹,가능하지,
위,내려와,그런,
닭,한,없잖어,
보고,와,어떻게,
소리,썩어서,어이없고,
내,되나,있겠다,
딸아,한다,두껍네,
너,지나가던,없는데도,
동안,안다,좋은,
공부,책임지고,없었다,
아주,해라,아니고,
대학,하는,안되는,
절대평가,하는데,그만해,
제,하면,이래,
때문,지켜라,두꺼운,
대학가,하고싶냐,없는,
서도,일어나면,같음,
한번,가려고하겠다,다를게,
수업,낳은건데,없다,
리포트,가겠군,인해,
시험,쓰는,변하는,
준비,해라,확실히,
게,나올,나쁜,
학점,될,아닌듯,
정유,봐도,뻔한거,
라라,드러나는데도,없고,
이,밝혀져도,그럼,
애,버티는,아니고,
누구,보면,뻔하기,
자식,해,없는,
대학가,하는,없었다하면되,
그냥,하세요,그럼,
학점,하네요,그렇지,
인상,봤나,공손히,
특혜,들이,아니지,
뻔,짖말,특별히,
이화,하고,아니다,
동문,봐라,특별히,
수치,뽑은,아니다,
준,드세요,어떻게,
따위,할,고약하냐,
총장,아는,많은,
나,받고,입니다,
당장,낸다면,그렇고,
증말,하다,그럼,
뻔,하냐,있었다고,
뻔,바꾸세요,없었다고,
게,가려지지가,아니라고,
자랑,않습니다,그럼,
정윤회,살다,중요한지를,
딸,살다,있는지를,
정윤회,하는,있는,
누구,올지,이상한,
서방,몰랐다,같은,
그,물러나라,필요없어요,
입,준거,없을것을,
학생,봐도,이상한,
보기,빤한데,나쁨,
사람,가리,없는,
나이,물러나라,중요한,
정황,해,확실히,
및,되고자,없었다는,
증거,했네,그럼,
본인,떨어지겠다,있었다는,
밑,메지,새로운,
끝,하면,스럽습니다,
끝,됐을것을,뻔한,
대학교,떨어졌다,없다는게,
레포트,해줘,그렇,
제출,하는,그런게,
출석,불리우는,없어,
다해,안겨주고,천박한,
시험,하면,오죽하면,
한번,받을,실패했다고,
그냥,할지,없음,
이,하니,아니라고,
랄,해야지,같은,
정도,때릴수도,같은,
대풍,까발려졌는데도,어떤,
선생,하고,같으면,
의식,보는거냐,같다,
수준,놀랍다,없다,
나라,했었는데,미,
발전,만들어,너무한거,
거나,버리네,아니냐,
노벨상,댓글다느라,입니다,
최소한,했네,망할,
반성,나면,웬만하면,
기미,해봐라,확실하게,
이대,갈거야,있었다,
특혜,비잘,자세히,
그,끝나면,아니다,
글,해,솔직하게,
점수,들,있는것,
특혜,하는,없는데,
무엇,바로잡을수있을까,부끄럽지,
총장,모르나,좋은가요,
선,맞아요,미쳐가고,
총장,되면,있다,
라이,할,미쳐가고있다,
씨,드러난,아니라면,
손바닥,물러나면,시끄럽,
하늘,될까,아니다라는,
모든,써,아니라,
