Jubilant 기쁜,0.528,0.72
Elated 신이난,0.72,0.54
Excitement 들뜬,0.4,0.4
Happy 행복한,0.68,0.2
Surprise 놀란,-0.04,0.68
Afraid 두려운,-0.6,0.6
angry 화난,-0.74,0.46
stress 긴장한,-0.36,0.36
frustrated 짜증나는,-0.72,0.16
sad 슬픈,-0.7,-0.22
despair 절망적인,-0.6,-0.38
depression 우울한,-0.6,-0.52
fatigued 지친,-0.36,-0.64
bored 따분한,-0.32,-0.8
content 만족,0.76,-0.24
calm 차분한,0.36,-0.48
relaxed 편안한,0.68,-0.62
sleepy 졸린,0.3,-0.82

