창피하다,-0.48,0.03,슬픔
처량하다,-0.7,-0.48,슬픔
처참하다,-0.73,-0.6,슬픔
천만다행이다,0.63,0.48,기쁨
철렁하다,-0.14,0.69,놀람
초조하다,-0.6,0.6,공포
충격적,-0.18,0.76,놀람
치사하다,-0.67,0.44,분노
침울하다,-0.68,-0.43,슬픔
쾌적하다,0.73,-0.14,기쁨
탄식하다,-0.63,-0.01,슬픔
탐나다,0.36,0.23,흥미
통쾌하다,0.68,0.53,기쁨
편안하다,0.68,-0.62,기쁨
하하,0.47,0.14,기쁨
행복하다,0.68,0.2,기쁨
허무하다,-0.48,-0.58,슬픔
허전하다,-0.48,-0.44,슬픔
허탈하다,-0.54,-0.58,슬픔
허허,0.41,-0.01,기쁨
헉,0.01,0.56,놀람
후련하다,0.71,-0.35,기쁨
후회하다,-0.6,-0.25,슬픔
훌륭하다,0.61,0.54,기쁨
흉측하다,-0.9,0.145,혐오
흐뭇하다,0.64,0.21,기쁨
흐흐,0.51,0.34,기쁨
흑흑,-0.46,-0.13,슬픔
흠칫하다,0,0.4,놀람
흥미롭다,0.352,0.16,흥미
흥분하다,-0.63,0.56,분노
히히,0.54,0.44,기쁨
가볍다,0.15,0.02,기쁨 중성
감명깊다,0.54,0.18,기쁨 흥미
거슬리다,-0.66,0.19,혐오 분노
구차하다,-0.71,-0.095,혐오 슬픔
난감하다,-0.25,0.41,놀람 기타
낯뜨겁다,-0.18,0.35,기타 놀람
매력적,0.44,0.29,기쁨 흥미
맥빠지다,-0.38,-0.48,지루 슬픔
못마땅하다,-0.75,0.15,분노 혐오
민망하다,-0.14,0.33,기타 놀람
불편하다,-0.34,0.14,지루 통증
빈정거리다,-0.57,0.29,분노 혐오
스릴,0.48,0.65,흥미 공포
싫다,-0.83,0.18,혐오 분노
신선하다,0.33,0.24,기쁨 흥미
아니꼽다,-0.71,0.26,분노 혐오
아악,-0.35,0.7,놀람 공포
야비하다,-0.78,0.29,분노 혐오
